Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides PM1_rep_1	Peptides PM1_rep_2	Peptides PM1_rep_3	Peptides PM2_rep_1	Peptides PM2_rep_2	Peptides PM2_rep_3	Razor + unique peptides PM1_rep_1	Razor + unique peptides PM1_rep_2	Razor + unique peptides PM1_rep_3	Razor + unique peptides PM2_rep_1	Razor + unique peptides PM2_rep_2	Razor + unique peptides PM2_rep_3	Unique peptides PM1_rep_1	Unique peptides PM1_rep_2	Unique peptides PM1_rep_3	Unique peptides PM2_rep_1	Unique peptides PM2_rep_2	Unique peptides PM2_rep_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type PM1_rep_1	Identification type PM1_rep_2	Identification type PM1_rep_3	Identification type PM2_rep_1	Identification type PM2_rep_2	Identification type PM2_rep_3	Sequence coverage PM1_rep_1 [%]	Sequence coverage PM1_rep_2 [%]	Sequence coverage PM1_rep_3 [%]	Sequence coverage PM2_rep_1 [%]	Sequence coverage PM2_rep_2 [%]	Sequence coverage PM2_rep_3 [%]	Intensity	Intensity PM1_rep_1	Intensity PM1_rep_2	Intensity PM1_rep_3	Intensity PM2_rep_1	Intensity PM2_rep_2	Intensity PM2_rep_3	LFQ intensity MME rep_1	LFQ intensity MME rep_2	LFQ intensity MME rep_3	LFQ intensity PME rep_1	LFQ intensity PME rep_2	LFQ intensity PME rep_3	MS/MS count PM1_rep_1	MS/MS count PM1_rep_2	MS/MS count PM1_rep_3	MS/MS count PM2_rep_1	MS/MS count PM2_rep_2	MS/MS count PM2_rep_3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
LOC_Os06g19660.2;LOC_Os06g19660.1	LOC_Os06g19660.2;LOC_Os06g19660.1	10;10	10;10	7;7	"LOC_Os06g19660.2 LOC_Os06g19660.2|13106.m02099|protein WD domain, G-beta repeat domain containing protein, expressed;LOC_Os06g19660.1 LOC_Os06g19660.1|13106.m02100|protein WD domain, G-beta repeat domain containing protein, expressed"	2	10	10	7	9	8	9	7	6	7	9	8	9	7	6	7	6	5	6	4	3	4	11	11	7.8	129.22	1187	1187;1334	0	87.472	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.3	9.6	10.3	8.7	7.1	7.8	1629000000	252620000	253740000	343320000	297200000	264430000	217720000	238520000	233710000	262530000	190100000	192350000	193080000	7	5	8	7	6	7	40				2543	1251;3496;4015;5931;7767;9518;11464;11751;14119;15304	True;True;True;True;True;True;True;True;True;True	1337;3710;4257;6278;8207;8208;10053;12256;12559;15072;16348	7663;21131;21132;21133;24158;24159;24160;24161;24162;24163;35644;35645;35646;35647;46581;46582;46583;46584;46585;46586;46587;56979;56980;56981;56982;56983;56984;69483;69484;71258;71259;71260;71261;71262;71263;86000;86001;86002;86003;86004;86005;93500;93501;93502;93503;93504;93505	5664;15734;15735;15736;17980;17981;17982;17983;17984;17985;26479;34670;34671;34672;34673;34674;34675;42082;42083;42084;42085;42086;51518;51519;52783;52784;52785;52786;52787;52788;64030;64031;64032;64033;69788;69789;69790;69791;69792;69793	5664;15734;17985;26479;34672;42085;51518;52785;64033;69791	397	1069
LOC_Os06g19730.1	LOC_Os06g19730.1	2	2	2	"LOC_Os06g19730.1 LOC_Os06g19730.1|13106.m02108|protein HEAT repeat family protein, putative, expressed"	1	2	2	2	1	0	2	1	1	1	1	0	2	1	1	1	1	0	2	1	1	1	1.5	1.5	1.5	201.59	1801	1801	0	4.6803	By matching		By MS/MS	By MS/MS	By MS/MS	By MS/MS	0.9	0	1.5	0.9	0.9	0.9	72991000	4186400	0	10593000	24070000	16660000	17482000	0	0	0	0	0	11425000	0	0	1	0	1	1	3				2544	7053;9329	True;True	7455;9848	42497;42498;42499;42500;42501;55972	31682;31683;31684;41442	31684;41442		
LOC_Os06g20040.1	LOC_Os06g20040.1	1	1	1	"LOC_Os06g20040.1 LOC_Os06g20040.1|13106.m02141|protein aspartic proteinase nepenthesin-2 precursor, putative, expressed"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	48.17	469	469	0.0027548	2.1728	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3	3	3	3	3	3	119510000	18483000	20991000	17839000	20652000	20429000	21119000	0	0	0	0	0	13803000	1	1	1	1	1	1	6				2545	12940	TRUE	13828	78524;78525;78526;78527;78528;78529	58129;58130;58131;58132;58133;58134	58131		
LOC_Os06g20090.1;LOC_Os03g12310.1	LOC_Os06g20090.1	17;1	17;1	17;1	"LOC_Os06g20090.1 LOC_Os06g20090.1|13106.m02146|protein NUP155, putative, expressed"	2	17	17	17	14	15	14	14	12	15	14	15	14	14	12	15	14	15	14	14	12	15	16.6	16.6	16.6	161.05	1475	1475;581	0	75.862	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.8	15.1	13.8	12.6	10.4	13.6	2787000000	491390000	519900000	461240000	443730000	398210000	472520000	477100000	502880000	440390000	278330000	276130000	291330000	11	13	12	9	8	9	62				2546	81;1399;1880;1962;1997;2639;2743;4047;4180;4818;9066;9349;9853;10612;11103;13235;16605	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	90;1493;2002;2092;2128;2813;2924;4290;4430;5105;9571;9868;10405;11320;11877;14138;17724	538;539;540;8614;11443;11444;11445;11446;11447;11999;12000;12001;12002;12003;12004;12196;12197;12198;12199;12200;12201;16047;16048;16049;16761;16762;16763;16764;16765;16766;24332;24333;24334;24335;24336;24337;25100;25101;28806;28807;28808;28809;28810;28811;54498;54499;54500;54501;54502;54503;56065;56066;56067;56068;56069;56070;58886;58887;58888;58889;58890;58891;64121;64122;64123;64124;64125;67216;67217;67218;67219;67220;80226;80227;80228;80229;80230;80231;101693;101694;101695;101696;101697;101698	422;423;424;6398;8477;8478;8479;8933;8934;8935;9094;11849;11850;11851;12442;12443;12444;12445;12446;12447;18104;18105;18106;18107;18108;18109;18650;18651;21322;21323;21324;21325;40428;40429;40430;40431;40432;40433;41498;41499;41500;41501;41502;43451;43452;43453;43454;43455;43456;47474;47475;47476;47477;49767;49768;49769;59429;76180;76181;76182;76183;76184;76185	423;6398;8477;8935;9094;11849;12444;18109;18650;21324;40430;41500;43456;47475;49769;59429;76184	954	277
LOC_Os06g20200.1;LOC_Os07g44900.1	LOC_Os06g20200.1	9;1	9;1	8;0	"LOC_Os06g20200.1 LOC_Os06g20200.1|13106.m02157|protein gibberellin receptor GID1L2, putative, expressed"	2	9	9	8	6	6	6	6	8	7	6	6	6	6	8	7	5	5	5	5	7	6	46.7	46.7	44.2	39.187	360	360;346	0	67.825	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	22.2	22.2	22.2	28.1	42.8	31.9	3969400000	801230000	728800000	809500000	556410000	618150000	455290000	771460000	679280000	739830000	324980000	309950000	269020000	6	6	5	4	6	4	31				2547	560;598;980;1296;2222;4733;8323;10868;16261	True;True;True;True;True;True;True;True;True	581;624;625;1030;1386;2363;5014;8797;11620;17368	3192;3193;3194;3195;3196;3197;3454;3455;3456;3457;3458;3459;3460;3461;3462;3463;3464;3465;5926;5927;5928;5929;5930;5931;5932;5933;7986;7987;7988;7989;7990;7991;13421;28313;28314;28315;28316;28317;28318;50123;50124;50125;50126;65783;99612;99613;99614	2389;2390;2391;2392;2393;2394;2592;2593;2594;2595;2596;4417;4418;4419;4420;4421;4422;5951;5952;9936;20946;20947;20948;20949;20950;20951;20952;37281;37282;48668;74535;74536;74537	2390;2594;4419;5952;9936;20949;37282;48668;74535	955	354
LOC_Os06g20320.1	LOC_Os06g20320.1	17	17	17	"LOC_Os06g20320.1 LOC_Os06g20320.1|13106.m02172|protein peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed"	1	17	17	17	15	12	14	17	17	17	15	12	14	17	17	17	15	12	14	17	17	17	43	43	43	59.93	537	537	0	140.71	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	35.2	28.3	33.3	43	43	43	12462000000	1017100000	990970000	1151300000	3110600000	3138300000	3054200000	1093300000	1162500000	1311300000	1764100000	1759900000	1725100000	11	14	11	21	18	18	93				2548	470;3704;4085;4389;5289;6481;6501;9269;10049;11770;11835;12538;13486;13630;15984;16036;16391	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	490;3921;4329;4649;4650;5594;6851;6871;9783;10610;12583;12654;13409;14398;14553;17073;17126;17500	2756;2757;2758;22279;22280;22281;22282;22283;22284;24574;24575;24576;24577;24578;24579;26318;26319;26320;26321;26322;26323;26324;26325;26326;26327;26328;26329;31446;31447;31448;38948;38949;38950;38951;38952;38953;38954;38955;38956;38957;38958;38959;39064;39065;39066;39067;39068;39069;39070;39071;55648;55649;55650;55651;55652;55653;60204;60205;60206;60207;60208;60209;71383;71384;71385;71386;71798;71799;71800;71801;71802;71803;76276;76277;76278;76279;76280;76281;76282;76283;76284;76285;76286;76287;81747;81748;81749;81750;81751;82702;82703;82704;82705;82706;82707;97964;97965;97966;97967;97968;97969;98312;98313;98314;98315;98316;98317;100426;100427;100428;100429;100430;100431	2082;2083;16580;16581;16582;16583;16584;18269;18270;18271;18272;18273;18274;19510;19511;19512;19513;19514;19515;19516;19517;23288;23289;23290;23291;23292;28826;28827;28828;28829;28830;28831;28832;28833;28834;28900;28901;28902;28903;28904;28905;28906;41228;41229;41230;41231;41232;41233;44541;44542;44543;44544;44545;52872;52873;52874;53165;53166;53167;53168;53169;53170;56537;56538;56539;56540;56541;56542;56543;56544;56545;56546;60521;60522;60523;60524;61313;61314;61315;61316;61317;61318;73298;73299;73300;73301;73302;73303;73555;73556;73557;73558;73559;75159;75160;75161;75162	2082;16582;18272;19515;23289;28830;28902;41231;44545;52873;53169;56543;60522;61313;73303;73559;75160	956	187
LOC_Os06g21530.1	LOC_Os06g21530.1	2	2	2	LOC_Os06g21530.1 LOC_Os06g21530.1|13106.m02305|protein expressed protein	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	20.5	20.5	20.5	23.376	215	215	0	14.341	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	5.1	20.5	20.5	20.5	20.5	20.5	777920000	37249000	57098000	49021000	214360000	206630000	213560000	0	41753000	36667000	147010000	138740000	143420000	1	0	0	2	2	2	7				2549	3371;5984	True;True	3581;6335	20359;20360;20361;20362;20363;20364;35951;35952;35953;35954;35955	15157;15158;15159;15160;26693;26694;26695	15159;26693		
LOC_Os06g21560.1	LOC_Os06g21560.1	2	2	2	"LOC_Os06g21560.1 LOC_Os06g21560.1|13106.m02308|protein CDK5RAP3, putative, expressed"	1	2	2	2	2	2	2	1	1	1	2	2	2	1	1	1	2	2	2	1	1	1	3.8	3.8	3.8	62.208	558	558	0	5.5086	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	3.8	3.8	3.8	2	2	2	141350000	22061000	17479000	15094000	42114000	21411000	23196000	22061000	0	0	0	0	0	2	3	3	1	1	0	10				2550	8081;11063	True;True	8544;11836	48696;48697;48698;67015;67016;67017;67018;67019;67020	36260;36261;36262;49606;49607;49608;49609;49610;49611;49612	36262;49612		
LOC_Os06g21590.2;LOC_Os06g21590.1	LOC_Os06g21590.2;LOC_Os06g21590.1	9;9	9;9	9;9	"LOC_Os06g21590.2 LOC_Os06g21590.2|13106.m02313|protein chlorophyll A-B binding protein, putative, expressed;LOC_Os06g21590.1 LOC_Os06g21590.1|13106.m02312|protein chlorophyll A-B binding protein, putative, expressed"	2	9	9	9	8	9	9	8	9	8	8	9	9	8	9	8	8	9	9	8	9	8	28.6	28.6	28.6	24.915	227	227;241	0	172.8	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.2	28.6	28.6	28.6	28.6	28.6	1.6961E+11	16477000000	12542000000	10445000000	51527000000	39320000000	39303000000	7601800000	6298200000	6384900000	33217000000	32141000000	28413000000	20	20	23	28	27	30	148				2551	2695;7853;8075;8076;11322;15810;16703;16704;16705	True;True;True;True;True;True;True;True;True	2875;8298;8536;8537;12109;16892;16893;16894;17826;17827;17828	16423;16424;16425;16426;16427;16428;16429;16430;16431;16432;16433;16434;16435;16436;47167;47168;47169;47170;47171;47172;47173;47174;48625;48626;48627;48628;48629;48630;48631;48632;48633;48634;48635;48636;48637;48638;48639;48640;48641;48642;48643;48644;48645;48646;48647;68602;68603;68604;68605;68606;68607;68608;68609;68610;68611;68612;68613;68614;68615;68616;68617;68618;68619;68620;68621;68622;68623;68624;68625;68626;68627;68628;68629;68630;68631;68632;68633;68634;68635;68636;68637;68638;68639;68640;68641;68642;68643;68644;68645;68646;68647;68648;68649;68650;68651;68652;68653;68654;68655;68656;68657;68658;68659;96707;96708;96709;96710;96711;96712;96713;96714;96715;96716;96717;96718;96719;96720;96721;96722;96723;96724;96725;96726;96727;96728;102274;102275;102276;102277;102278;102279;102280;102281;102282;102283;102284;102285;102286;102287;102288;102289;102290;102291;102292;102293;102294	12173;12174;12175;12176;12177;12178;12179;12180;12181;12182;12183;12184;12185;12186;35164;35165;35166;35167;36210;36211;36212;36213;36214;36215;36216;36217;36218;36219;36220;36221;36222;36223;36224;36225;36226;36227;36228;50854;50855;50856;50857;50858;50859;50860;50861;50862;50863;50864;50865;50866;50867;50868;50869;50870;50871;50872;50873;50874;50875;50876;50877;50878;50879;50880;50881;50882;50883;50884;50885;50886;50887;50888;50889;50890;50891;50892;50893;50894;50895;50896;50897;50898;50899;50900;50901;50902;50903;50904;50905;50906;50907;50908;50909;50910;50911;50912;50913;50914;50915;50916;50917;50918;50919;50920;50921;50922;50923;50924;50925;72226;72227;72228;72229;72230;72231;72232;72233;72234;72235;72236;72237;72238;72239;72240;76616;76617;76618;76619;76620;76621;76622;76623;76624;76625;76626;76627;76628;76629;76630;76631;76632;76633;76634;76635;76636;76637;76638;76639	12186;35167;36223;36225;50921;72238;76621;76626;76637	957;958	41;46
LOC_Os06g22060.1;LOC_Os06g22060.5;LOC_Os06g22060.4;LOC_Os06g22060.3;LOC_Os06g22060.2	LOC_Os06g22060.1;LOC_Os06g22060.5;LOC_Os06g22060.4;LOC_Os06g22060.3;LOC_Os06g22060.2	2;1;1;1;1	1;0;0;0;0	1;0;0;0;0	"LOC_Os06g22060.1 LOC_Os06g22060.1|13106.m02365|protein pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha, putative, expressed;LOC_Os06g22060.5 LOC_Os06g22060.5|13106.m02367|protein pyrophosphate--fructose 6-phosphate 1-phosphotransfera"	5	2	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	4	2.7	2.7	67.558	622	622;445;445;445;445	0.0027533	2.1688	By MS/MS	By matching	By matching		By matching	By matching	2.7	2.7	2.7	0	1.3	2.7	58216000	16264000	12618000	11987000	0	0	17347000	0	0	0	0	0	11337000	1	0	0	0	0	0	1				2552	9934;13594	False;True	10489;14515	59327;82450;82451;82452;82453	43790;61105	43790;61105		
LOC_Os06g22140.1	LOC_Os06g22140.1	2	2	2	"LOC_Os06g22140.1 LOC_Os06g22140.1|13106.m02380|protein thioredoxin reductase 2, putative, expressed"	1	2	2	2	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	4.6	4.6	4.6	38.218	368	368	0	3.4943	By MS/MS		By matching	By MS/MS	By matching		3.8	0	3.8	4.6	3.8	0	51966000	6969200	0	8763600	31106000	5126700	0	0	0	0	19631000	0	0	1	0	0	0	0	0	1				2553	7146;7147	True;True	7555;7556	43023;43024;43025;43026	32048;32049	32048;32049		
LOC_Os06g22340.1	LOC_Os06g22340.1	2	1	1	"LOC_Os06g22340.1 LOC_Os06g22340.1|13106.m02399|protein cytochrome P450, putative, expressed"	1	2	1	1	1	2	2	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	4.5	2.7	2.7	56.586	514	514	0.0002978	2.7667	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	2.7	4.5	4.5	1.8	1.8	1.8	34424000	11421000	10848000	12154000	0	0	0	0	0	11554000	0	0	0	1	1	1	0	0	0	3				2554	2175;6240	False;True	2313;6598	13160;13161;13162;13163;13164;37434;37435;37436	9787;27726;27727;27728	9787;27727		
LOC_Os06g22650.1	LOC_Os06g22650.1	1	1	1	"LOC_Os06g22650.1 LOC_Os06g22650.1|13106.m02434|protein VHS and GAT domain containing protein, expressed"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.7	3.7	3.7	73.725	683	683	0	5.759	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	3.7	3.7	3.7	3.7	3.7	3.7	436500000	66646000	99744000	79702000	64885000	72530000	52998000	0	0	0	0	0	34637000	1	1	0	0	0	1	3				2555	624	TRUE	654	3605;3606;3607;3608;3609;3610	2704;2705;2706	2704		
LOC_Os06g22810.1;LOC_Os03g17300.4;LOC_Os03g17300.3;LOC_Os03g17300.2;LOC_Os03g17300.1;LOC_Os03g55210.1;LOC_Os06g17285.2;LOC_Os06g17285.1;LOC_Os01g66630.1;LOC_Os11g35274.1;LOC_Os05g40770.2;LOC_Os04g52860.1;LOC_Os06g03610.1;LOC_Os01g10710.1;LOC_Os03g28300.1;LOC_Os05g20150.1;LOC_Os05g25450.2;LOC_Os05g25450.1;LOC_Os01g06280.2;LOC_Os01g06280.1;LOC_Os01g60060.1;LOC_Os05g40770.1	LOC_Os06g22810.1;LOC_Os03g17300.4;LOC_Os03g17300.3;LOC_Os03g17300.2;LOC_Os03g17300.1;LOC_Os03g55210.1	4;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	2;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	"LOC_Os06g22810.1 LOC_Os06g22810.1|13106.m02451|protein TKL_IRAK_CrRLK1L-1.14 - The CrRLK1L-1 subfamily has homology to the CrRLK1L homolog, expressed;LOC_Os03g17300.4 LOC_Os03g17300.4|13103.m02069|protein TKL_IRAK_CrRLK1L-1.7 - The CrRLK1L-1 subfamily has "	22	4	2	1	4	3	3	4	3	3	2	2	2	2	2	2	1	1	1	1	1	1	4.8	2.9	1.5	94.22	859	859;839;839;839;843;892;434;434;536;642;737;844;845;845;859;869;881;881;894;894;926;969	0	5.7949	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.8	3.8	3.8	4.8	3.8	3.8	431380000	48028000	56650000	48534000	102560000	87571000	88034000	51520000	54476000	48659000	62095000	51868000	57472000	0	2	2	1	1	1	7				2556	6026;12299;13781;14532	True;True;False;False	6380;13152;14716;15521	36228;36229;36230;36231;36232;36233;74888;74889;74890;74891;74892;74893;83916;83917;83918;83919;83920;83921;88674;88675	26898;26899;26900;26901;26902;55523;55524;62390;62391;62392;66079	26900;55524;62391;66079		
LOC_Os06g22820.1	LOC_Os06g22820.1	1	1	1	"LOC_Os06g22820.1 LOC_Os06g22820.1|13106.m02452|protein cyclin-dependent kinase F-1, putative, expressed"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.3	3.3	3.3	52.072	479	479	0.00029223	2.6491	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	3.3	3.3	3.3	3.3	3.3	3.3	200070000	41317000	36121000	41019000	25744000	30190000	25678000	0	0	0	0	0	16782000	1	1	1	1	1	0	5				2557	2507	TRUE	2661	15251;15252;15253;15254;15255;15256	11267;11268;11269;11270;11271	11270		
LOC_Os06g22960.1	LOC_Os06g22960.1	3	3	3	"LOC_Os06g22960.1 LOC_Os06g22960.1|13106.m02470|protein aquaporin protein, putative, expressed"	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	14.1	14.1	14.1	25.014	248	248	0	9.4491	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.1	14.1	14.1	14.1	14.1	14.1	87217000000	17736000000	19148000000	19839000000	10209000000	10477000000	9808600000	18090000000	17639000000	18766000000	6447500000	6280900000	6132700000	7	9	6	6	4	6	38				2558	4323;12624;16854	True;True;True	4579;13498;17983	25920;25921;25922;25923;25924;25925;25926;25927;25928;25929;25930;25931;25932;25933;25934;25935;25936;25937;25938;25939;76732;76733;76734;76735;76736;76737;76738;76739;76740;76741;76742;76743;103129;103130;103131;103132;103133;103134	19209;19210;19211;19212;19213;19214;19215;19216;19217;19218;19219;19220;19221;19222;19223;19224;19225;19226;19227;19228;56808;56809;56810;56811;56812;56813;56814;56815;56816;56817;56818;56819;56820;56821;56822;56823;56824;77280;77281	19212;56820;77281		
LOC_Os06g23160.1	LOC_Os06g23160.1	2	2	2	"LOC_Os06g23160.1 LOC_Os06g23160.1|13106.m02488|protein bacterial transferase hexapeptide domain containing protein, expressed"	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	0	4.2	4.2	4.2	48.949	455	455	0	4.2006	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS		4.2	4.2	4.2	4.2	4.2	0	196810000	30302000	28737000	33181000	57580000	47007000	0	30611000	27116000	29786000	35206000	32744000	0	1	1	1	1	2	0	6				2559	8541;9425	True;True	9028;9959	51363;51364;51365;51366;51367;56501;56502;56503;56504;56505	38166;38167;38168;38169;38170;41783	38169;41783		
LOC_Os06g23440.1	LOC_Os06g23440.1	1	1	1	"LOC_Os06g23440.1 LOC_Os06g23440.1|13106.m02522|protein eukaryotic translation initiation factor 1A, putative, expressed"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.9	6.9	6.9	16.339	144	144	0	22.824	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.9	6.9	6.9	6.9	6.9	6.9	95983000	41250000	54734000	0	0	0	0	0	51911000	0	0	0	0	1	1	1	1	1	1	6				2560	1916	TRUE	2042	11730;11731;11732;11733;11734;11735	8735;8736;8737;8738;8739;8740	8737		
LOC_Os06g24704.1	LOC_Os06g24704.1	4	4	4	"LOC_Os06g24704.1 LOC_Os06g24704.1|13106.m02651|protein acyl-coenzyme A oxidase, putative, expressed"	1	4	4	4	4	4	4	1	1	0	4	4	4	1	1	0	4	4	4	1	1	0	6.6	6.6	6.6	76.278	685	685	0	14.803	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS		6.6	6.6	6.6	1.8	1.8	0	369700000	85033000	86132000	84598000	57323000	56614000	0	97823000	73121000	76202000	0	0	0	2	1	2	0	0	0	5				2561	2691;4919;9254;14883	True;True;True;True	2871;5211;9768;15892	16407;16408;16409;16410;16411;29388;29389;29390;55579;55580;55581;90867;90868;90869	12160;12161;12162;21755;21756;41178;41179;67795;67796	12161;21755;41179;67796		
LOC_Os06g24730.3;LOC_Os06g24730.2;LOC_Os06g24730.1	LOC_Os06g24730.3;LOC_Os06g24730.2;LOC_Os06g24730.1	2;2;2	2;2;2	2;2;2	"LOC_Os06g24730.3 LOC_Os06g24730.3|13106.m02655|protein hydrolase, alpha/beta fold family domain containing protein, expressed;LOC_Os06g24730.2 LOC_Os06g24730.2|13106.m02656|protein hydrolase, alpha/beta fold family domain containing protein, expressed;LOC_"	3	2	2	2	2	2	1	0	0	0	2	2	1	0	0	0	2	2	1	0	0	0	5.2	5.2	5.2	47.038	426	426;463;486	0	3.0358	By MS/MS	By MS/MS	By MS/MS				5.2	5.2	2.6	0	0	0	189550000	67003000	78727000	43818000	0	0	0	0	74667000	0	0	0	0	1	1	1	0	0	0	3				2562	5966;11591	True;True	6313;12390	35826;35827;35828;70191;70192	26606;51980;51981	26606;51980	959	368
LOC_Os06g25439.1	LOC_Os06g25439.1	2	2	2	"LOC_Os06g25439.1 LOC_Os06g25439.1|13106.m02726|protein NAD dependent epimerase/dehydratase family protein, putative, expressed"	1	2	2	2	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	39.8	39.8	39.8	12.465	113	113	0.00029771	2.7624	By MS/MS					By MS/MS	33.6	0	0	0	0	6.2	20360000	20360000	0	0	0	0	0	20360000	0	0	0	0	0	1	0	0	0	0	1	2				2563	2481;13259	True;True	2633;14163	15080;80368	11129;59540	11129;59540		
LOC_Os06g26234.3;LOC_Os06g26234.2;LOC_Os06g26234.1	LOC_Os06g26234.3;LOC_Os06g26234.2;LOC_Os06g26234.1	2;2;2	2;2;2	2;2;2	"LOC_Os06g26234.3 LOC_Os06g26234.3|13106.m02802|protein 1,4-alpha-glucan-branching enzyme, putative, expressed;LOC_Os06g26234.2 LOC_Os06g26234.2|13106.m02801|protein 1,4-alpha-glucan-branching enzyme, putative, expressed;LOC_Os06g26234.1 LOC_Os06g26234.1|13"	3	2	2	2	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	3.6	3.6	3.6	89.575	776	776;903;903	0	3.0642	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	1.5	3.6	1.5	2.1	2.1	2.1	94959000	15041000	16646000	14353000	14169000	17751000	17000000	0	15787000	0	0	0	0	1	0	0	0	0	1	2				2564	2011;16083	True;True	2144;17175	12277;12278;12279;12280;98597;98598;98599	9147;73792;73793	9147;73793		
LOC_Os06g27560.1	LOC_Os06g27560.1	2	1	1	"LOC_Os06g27560.1 LOC_Os06g27560.1|13106.m02835|protein glycosyltransferase protein, putative, expressed"	1	2	1	1	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4.6	2.7	2.7	58.466	524	524	0.0024993	2.2262	By matching	By MS/MS	By matching				1.9	4.6	1.9	0	0	0	8527400	0	8527400	0	0	0	0	0	8087600	0	0	0	0	0	1	0	0	0	0	1				2565	2500;10364	False;True	2654;10955	15205;15206;15207;61988	11236;11237;11238;45822	11236;45822	960;961	439;442
LOC_Os06g27800.1;LOC_Os06g27800.2	LOC_Os06g27800.1;LOC_Os06g27800.2	4;4	4;4	4;4	"LOC_Os06g27800.1 LOC_Os06g27800.1|13106.m02860|protein tm-1GCR237 protein, putative, expressed;LOC_Os06g27800.2 LOC_Os06g27800.2|13106.m02861|protein tm-1GCR237 protein, putative, expressed"	2	4	4	4	3	3	3	2	3	1	3	3	3	2	3	1	3	3	3	2	3	1	8.7	8.7	8.7	79.546	743	743;744	0	12.049	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	5.2	5.2	5.2	5	8.5	2.8	194820000	28498000	36769000	33746000	32788000	55021000	8002900	25418000	31969000	30309000	29019000	34571000	0	1	2	2	1	4	0	10				2566	3387;9016;11820;16433	True;True;True;True	3597;9518;12638;17547	20455;20456;20457;20458;20459;54207;54208;54209;71700;71701;71702;71703;71704;71705;100782;100783	15218;40221;40222;40223;53089;53090;53091;53092;75524;75525	15218;40223;53090;75525		
